slug,term_en,term_hi,source
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,heart,heart,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,chamber,chamber,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,alary muscle,alary muscle,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,haemocoel,haemocoel,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,ostium,ostium,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,spiracle,spiracle,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,trachea,trachea,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,tracheole,tracheole,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,Malpighian tubule,Malpighian tubule,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,fat body,fat body,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,uricose gland,uricose gland,en-final-raasikh
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,nephrocyte,nephrocyte,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,head,head,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,compound eye,compound eye,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,antenna,antenna,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,prothorax,prothorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,mesothorax,mesothorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,metathorax,metathorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,tegmen,tegmen,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,hind wing,hind wing,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,abdomen,abdomen,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,anal cercus,anal cercus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,anal style,anal style,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,coxa,coxa,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,femur,femur,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,tibia,tibia,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,tarsus,tarsus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,mouth,mouth,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,pharynx,pharynx,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,oesophagus,oesophagus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,crop,crop,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,gizzard,gizzard,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,hepatic caeca,hepatic caeca,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,midgut,midgut,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,Malpighian tubule,Malpighian tubule,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,ileum,ileum,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,colon,colon,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,rectum,rectum,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,anus,anus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--a,salivary gland,salivary gland,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,head,head,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,compound eye,compound eye,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,antenna,antenna,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,prothorax,prothorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,mesothorax,mesothorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,metathorax,metathorax,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,tegmen,tegmen,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,hind wing,hind wing,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,abdomen,abdomen,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,anal cercus,anal cercus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,anal style,anal style,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,coxa,coxa,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,femur,femur,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,tibia,tibia,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,tarsus,tarsus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,mouth,mouth,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,pharynx,pharynx,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,oesophagus,oesophagus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,crop,crop,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,gizzard,gizzard,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,hepatic caeca,hepatic caeca,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,midgut,midgut,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,Malpighian tubule,Malpighian tubule,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,ileum,ileum,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,colon,colon,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,rectum,rectum,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,anus,anus,en-final-raasikh
bio11-ch7-cockroach--morphology-and-digestive-system--b,salivary gland,salivary gland,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,supra-oesophageal ganglion,supra-oesophageal ganglion,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,sub-oesophageal ganglion,sub-oesophageal ganglion,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,circum-oesophageal connective,circum-oesophageal connective,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,thoracic ganglion,thoracic ganglion,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,abdominal ganglion,abdominal ganglion,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,ventral nerve cord,ventral nerve cord,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,testis,testis,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,vas deferens,vas deferens,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,seminal vesicle,seminal vesicle,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,mushroom gland,mushroom gland,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,ejaculatory duct,ejaculatory duct,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,phallic gland,phallic gland,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,gonapophysis,gonapophysis,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,ovary,ovary,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,ovariole,ovariole,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,oviduct,oviduct,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,spermatheca,spermatheca,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,collateral gland,collateral gland,en-final-raasikh
bio11-ch7-cockroach--nervous-system-and-reproduction,ootheca,ootheca,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,fibroblast,fibroblast,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,collagen fibre,collagen fibre,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,elastin fibre,elastin fibre,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,macrophage,macrophage,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,mast cell,mast cell,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,matrix,matrix,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,adipocyte,adipocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,fat droplet,fat droplet,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,tendon,tendon,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,chondrocyte,chondrocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,lacuna,lacuna,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,osteocyte,osteocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,Haversian canal,Haversian canal,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,lamella,lamella,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--a,canaliculus,canaliculus,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,fibroblast,fibroblast,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,collagen fibre,collagen fibre,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,elastin fibre,elastin fibre,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,macrophage,macrophage,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,mast cell,mast cell,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,matrix,matrix,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,adipocyte,adipocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,fat droplet,fat droplet,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,tendon,tendon,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,chondrocyte,chondrocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,lacuna,lacuna,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,osteocyte,osteocyte,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,Haversian canal,Haversian canal,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,lamella,lamella,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--b,canaliculus,canaliculus,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--c,fibroblast,fibroblast,en-final-raasikh
bio11-ch7-connective-tissue--types-and-matrix--c,collagen fibre,collagen fibre,en-final-raasikh
